Hole_Id,Depth_From,Depth_To,Bond_Work,Abression,Rodmill_In,Drop_Weigh,RQD,AxB,X,Y,Z,Depth_max
KRED207,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,530167.06,8714340.88,1330.60,104.50
KRED207,10.00,14.00,10.30,0.32,13.70,21.00,45.00,0.67,530167.06,8714340.88,1330.60,104.50
KRED207,14.00,17.20,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,17.20,27.00,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,27.00,31.20,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,31.20,44.00,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,44.00,45.20,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,45.20,47.00,12.80,0.15,14.20,12.80,41.68,11.70,530167.06,8714340.88,1330.60,104.50
KRED207,47.00,49.00,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,49.00,54.30,15.30,0.03,8.90,6.70,61.00,0.71,530167.06,8714340.88,1330.60,104.50
KRED207,54.30,58.50,15.30,0.03,8.90,6.70,61.00,0.71,530167.06,8714340.88,1330.60,104.50
KRED207,58.50,62.00,12.00,0.02,13.80,16.00,54.74,0.32,530167.06,8714340.88,1330.60,104.50
KRED207,62.00,66.30,19.60,0.02,4.00,6.10,16.00,0.24,530167.06,8714340.88,1330.60,104.50
KRED207,66.30,83.50,14.30,0.78,18.90,11.30,70.00,41.10,530167.06,8714340.88,1330.60,104.50
KRED207,83.50,85.00,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED207,85.00,87.20,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED207,87.20,88.00,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED207,88.00,97.00,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED207,97.00,102.50,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED207,102.50,104.50,7.00,0.00,12.00,0.02,36.33,29.10,530167.06,8714340.88,1330.60,104.50
KRED209,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,530024.16,8714201.45,1331.31,113.00
KRED209,5.00,25.00,10.30,0.32,13.70,21.00,45.00,0.67,530024.16,8714201.45,1331.31,113.00
KRED209,25.00,29.50,10.30,0.32,13.70,21.00,45.00,0.67,530024.16,8714201.45,1331.31,113.00
KRED209,29.50,33.80,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,33.80,46.50,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,46.50,51.50,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,51.50,65.40,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,65.40,68.00,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,68.00,71.10,12.80,0.15,14.20,12.80,41.68,11.70,530024.16,8714201.45,1331.31,113.00
KRED209,71.10,74.20,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,74.20,76.50,15.30,0.03,8.90,6.70,61.00,0.71,530024.16,8714201.45,1331.31,113.00
KRED209,76.50,77.50,15.30,0.03,8.90,6.70,61.00,0.71,530024.16,8714201.45,1331.31,113.00
KRED209,77.50,81.80,12.00,0.02,13.80,16.00,54.74,0.32,530024.16,8714201.45,1331.31,113.00
KRED209,81.80,92.00,19.60,0.02,4.00,6.10,16.00,0.24,530024.16,8714201.45,1331.31,113.00
KRED209,92.00,93.70,14.30,0.78,18.90,11.30,70.00,41.10,530024.16,8714201.45,1331.31,113.00
KRED209,93.70,107.00,14.30,0.78,18.90,11.30,70.00,41.10,530024.16,8714201.45,1331.31,113.00
KRED209,107.00,112.00,7.00,0.00,12.00,0.02,36.33,29.10,530024.16,8714201.45,1331.31,113.00
KRED209,112.00,113.00,7.00,0.00,12.00,0.02,36.33,29.10,530024.16,8714201.45,1331.31,113.00
KRED211,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,530079.99,8714416.37,1330.50,155.00
KRED211,9.50,23.00,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,23.00,25.00,7.00,0.00,12.00,0.02,36.33,29.10,530079.99,8714416.37,1330.50,155.00
KRED211,25.00,41.00,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,41.00,45.50,7.00,0.00,12.00,0.02,36.33,29.10,530079.99,8714416.37,1330.50,155.00
KRED211,45.50,56.00,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,56.00,76.00,10.30,0.32,13.70,21.00,45.00,0.67,530079.99,8714416.37,1330.50,155.00
KRED211,76.00,93.00,10.30,0.32,13.70,21.00,45.00,0.67,530079.99,8714416.37,1330.50,155.00
KRED211,93.00,97.00,12.00,0.02,13.80,16.00,54.74,0.32,530079.99,8714416.37,1330.50,155.00
KRED211,97.00,113.00,12.00,0.02,13.80,16.00,54.74,0.32,530079.99,8714416.37,1330.50,155.00
KRED211,113.00,117.50,12.00,0.02,13.80,16.00,54.74,0.32,530079.99,8714416.37,1330.50,155.00
KRED211,117.50,126.30,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,126.30,139.50,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,139.50,146.00,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,146.00,147.50,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,147.50,152.50,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED211,152.50,155.00,14.30,0.78,18.90,11.30,70.00,41.10,530079.99,8714416.37,1330.50,155.00
KRED212,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,530246.99,8714518.87,1329.94,161.00
KRED212,6.50,16.00,10.30,0.32,13.70,21.00,45.00,0.67,530246.99,8714518.87,1329.94,161.00
KRED212,16.00,17.00,14.30,0.78,18.90,11.30,70.00,41.10,530246.99,8714518.87,1329.94,161.00
KRED212,17.00,25.00,12.00,0.02,13.80,16.00,54.74,0.32,530246.99,8714518.87,1329.94,161.00
